"Hernieuwbare elektriciteit; productie en vermogen "
""
""
"Onderwerp";"Installaties|Opgestelde installaties einde van jaar";"Installaties|Opgestelde installaties einde van jaar";"Installaties|Opgesteld elektrisch vermogen einde jaar";"Installaties|Opgesteld elektrisch vermogen einde jaar"
"Bron/Techniek";"Windenergie op land";"Windenergie op zee";"Windenergie op land";"Windenergie op zee"
"Perioden";"aantal";"aantal";"megawatt";"megawatt"
"1990";"323";"";"50";""
"1991";"429";"";"83";""
"1992";"497";"";"101";""
"1993";"633";"";"131";""
"1994";"724";"";"152";""
"1995";"1008";"";"250";""
"1996";"1115";"";"296";""
"1997";"1148";"";"324";""
"1998";"1193";"";"363";""
"1999";"1253";"";"410";""
"2000";"1291";"";"447";""
"2001";"1342";"";"485";""
"2002";"1454";"";"672";""
"2003";"1598";"";"905";""
"2004";"1654";"";"1075";""
"2005";"1710";"";"1224";""
"2006";"1794";"36";"1453";"108"
"2007";"1855";"36";"1641";"108"
"2008";"1942";"96";"1921";"228"
"2009";"1876";"96";"1994";"228"
"2010";"1877";"96";"2009";"228"
"2011";"1882";"96";"2088";"228"
"2012";"1882";"96";"2205";"228"
"2013";"1977";"96";"2485";"228"
"2014";"2028";"96";"2637";"228"
"2015";"2032";"139";"3034";"357"
"2016";"2042";"289";"3300";"957"
"2017";"1981";"289";"3245";"957"
"2018";"2029";"289";"3436";"957"
"2019";"2032";"289";"3527";"957"
"2020";"2150";"462";"4188";"2460"
"2021 ";"2339";"462";"5214";"2460"
"2022**";"2509";"472";"6185";"2570"
"2023**";"2621";"600";"6812";"3978"
"Bron: CBS"
