"Windenergie op land; productie en capaciteit naar ashoogte"
""
""
"Onderwerp";"Windmolens|In gebruik genomen windmolens";"Windmolens|In gebruik genomen windmolens";"Windmolens|In gebruik genomen windmolens";"Windmolens|In gebruik genomen windmolens";"Windmolens|In gebruik genomen windmolens";"Windmolens|Uit gebruik genomen windmolens";"Windmolens|Uit gebruik genomen windmolens";"Windmolens|Uit gebruik genomen windmolens";"Windmolens|Uit gebruik genomen windmolens";"Windmolens|Uit gebruik genomen windmolens";"Windmolens|Opgestelde windmolens einde van jaar";"Windmolens|Opgestelde windmolens einde van jaar";"Windmolens|Opgestelde windmolens einde van jaar";"Windmolens|Opgestelde windmolens einde van jaar";"Windmolens|Opgestelde windmolens einde van jaar";"Rotoroppervlak|In gebruik genomen rotoroppervlak";"Rotoroppervlak|In gebruik genomen rotoroppervlak";"Rotoroppervlak|In gebruik genomen rotoroppervlak";"Rotoroppervlak|In gebruik genomen rotoroppervlak";"Rotoroppervlak|In gebruik genomen rotoroppervlak";"Rotoroppervlak|Uit gebruik genomen rotoroppervlak";"Rotoroppervlak|Uit gebruik genomen rotoroppervlak";"Rotoroppervlak|Uit gebruik genomen rotoroppervlak";"Rotoroppervlak|Uit gebruik genomen rotoroppervlak";"Rotoroppervlak|Uit gebruik genomen rotoroppervlak";"Rotoroppervlak|Opgesteld rotoroppervlak einde jaar";"Rotoroppervlak|Opgesteld rotoroppervlak einde jaar";"Rotoroppervlak|Opgesteld rotoroppervlak einde jaar";"Rotoroppervlak|Opgesteld rotoroppervlak einde jaar";"Rotoroppervlak|Opgesteld rotoroppervlak einde jaar";"Elektrisch vermogen|In gebruik genomen vemogen";"Elektrisch vermogen|In gebruik genomen vemogen";"Elektrisch vermogen|In gebruik genomen vemogen";"Elektrisch vermogen|In gebruik genomen vemogen";"Elektrisch vermogen|In gebruik genomen vemogen";"Elektrisch vermogen|Uit gebruik genomen vermogen";"Elektrisch vermogen|Uit gebruik genomen vermogen";"Elektrisch vermogen|Uit gebruik genomen vermogen";"Elektrisch vermogen|Uit gebruik genomen vermogen";"Elektrisch vermogen|Uit gebruik genomen vermogen";"Elektrisch vermogen|Opgesteld vermogen einde jaar";"Elektrisch vermogen|Opgesteld vermogen einde jaar";"Elektrisch vermogen|Opgesteld vermogen einde jaar";"Elektrisch vermogen|Opgesteld vermogen einde jaar";"Elektrisch vermogen|Opgesteld vermogen einde jaar"
"Ashoogten windmolens";"t/m 30 meter";"31 t/m 50 meter";"51 t/m 70 meter";"71 t/m 95 meter";"96 meter of meer";"t/m 30 meter";"31 t/m 50 meter";"51 t/m 70 meter";"71 t/m 95 meter";"96 meter of meer";"t/m 30 meter";"31 t/m 50 meter";"51 t/m 70 meter";"71 t/m 95 meter";"96 meter of meer";"t/m 30 meter";"31 t/m 50 meter";"51 t/m 70 meter";"71 t/m 95 meter";"96 meter of meer";"t/m 30 meter";"31 t/m 50 meter";"51 t/m 70 meter";"71 t/m 95 meter";"96 meter of meer";"t/m 30 meter";"31 t/m 50 meter";"51 t/m 70 meter";"71 t/m 95 meter";"96 meter of meer";"t/m 30 meter";"31 t/m 50 meter";"51 t/m 70 meter";"71 t/m 95 meter";"96 meter of meer";"t/m 30 meter";"31 t/m 50 meter";"51 t/m 70 meter";"71 t/m 95 meter";"96 meter of meer";"t/m 30 meter";"31 t/m 50 meter";"51 t/m 70 meter";"71 t/m 95 meter";"96 meter of meer"
"Perioden";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"1 000 m2";"1 000 m2";"1 000 m2";"1 000 m2";"1 000 m2";"1 000 m2";"1 000 m2";"1 000 m2";"1 000 m2";"1 000 m2";"1 000 m2";"1 000 m2";"1 000 m2";"1 000 m2";"1 000 m2";"megawatt";"megawatt";"megawatt";"megawatt";"megawatt";"megawatt";"megawatt";"megawatt";"megawatt";"megawatt";"megawatt";"megawatt";"megawatt";"megawatt";"megawatt"
"1990";"37";"33";"";"";"";".";".";".";"";"";"249";"73";"1";"";"";"16";"15";"";"";"";".";".";".";"";"";"68";"33";"2";"";"";"8";"6";"";"";"";".";".";".";"";"";"33";"15";"1";"";""
"1991";"115";"28";"";"";"";"37";"";"";"";"";"327";"101";"1";"";"";"54";"17";"";"";"";"14";"";"";"";"";"109";"50";"2";"";"";"32";"9";"";"";"";"8";"";"";"";"";"58";"24";"1";"";""
"1992";"34";"54";"";"";"";"11";"9";"";"";"";"350";"146";"1";"";"";"18";"30";"";"";"";"1";"7";"";"";"";"126";"73";"2";"";"";"8";"14";"";"";"";"0";"4";"";"";"";"66";"34";"1";"";""
"1993";"60";"84";"1";"";"";"8";"1";"";"";"";"402";"229";"2";"";"";"30";"37";"1";"";"";"1";"0";"";"";"";"156";"110";"2";"";"";"14";"16";"0";"";"";"0";"0";"";"";"";"80";"50";"1";"";""
"1994";"21";"85";"";"";"";"11";"4";"";"";"";"412";"310";"2";"";"";"11";"50";"";"";"";"1";"2";"";"";"";"165";"158";"2";"";"";"4";"19";"";"";"";"0";"1";"";"";"";"83";"68";"1";"";""
"1995";"31";"303";"2";"";"";"33";"18";"1";"";"";"410";"595";"3";"";"";"18";"247";"4";"";"";"11";"12";"2";"";"";"172";"393";"4";"";"";"6";"101";"2";"";"";"5";"5";"1";"";"";"84";"164";"2";"";""
"1996";"9";"109";"13";"";"";"18";"6";"";"";"";"401";"698";"16";"";"";"5";"95";"23";"";"";"4";"1";"";"";"";"172";"486";"27";"";"";"2";"37";"9";"";"";"2";"0";"";"";"";"84";"200";"11";"";""
"1997";"3";"79";"7";"";"";"55";"1";"";"";"";"349";"776";"23";"";"";"1";"91";"11";"";"";"25";"1";"";"";"";"149";"576";"38";"";"";"0";"38";"4";"";"";"14";"0";"";"";"";"71";"238";"15";"";""
